学科门类,专业类,专业名称,核心技能
工学,材料类,材料物理,材料物理性能测试、材料结构分析（XRD）、材料物理理论应用、材料设计、材料物理实验
工学,材料类,材料化学,材料化学合成、材料化学性能测试、材料表征（FTIR）、材料化学分析、材料化学实验
工学,材料类,冶金工程,冶金工艺设计、冶金设备操作、冶金过程控制、冶金质量检测、冶金环保技术
工学,材料类,金属材料工程,金属材料设计、金属材料制备、金属材料性能测试、金属材料热处理、金属材料应用开发
工学,材料类,无机非金属材料工程,无机非金属材料设计、材料制备工艺、材料性能测试、材料应用开发、材料质量控制
工学,材料类,高分子材料与工程,高分子材料合成、高分子材料性能测试、高分子材料加工、高分子材料表征（GPC）、高分子材料应用开发
工学,材料类,复合材料与工程,复合材料设计、复合材料制备、复合材料性能测试、复合材料成型、复合材料应用开发
工学,材料类,粉体材料科学与工程,粉体材料制备、粉体性能测试、粉体成型、粉体材料表征、粉体材料应用开发
工学,材料类,宝石及材料工艺学,宝石鉴定、宝石设计、宝石加工、宝石质量评估、宝石市场分析
工学,材料类,焊接技术与工程,焊接工艺设计、焊接设备操作、焊接质量检测、焊接缺陷修复、焊接过程控制
工学,材料类,功能材料,功能材料设计、材料合成、功能性能测试、材料应用开发、材料表征
工学,材料类,纳米材料与技术,纳米材料制备、纳米材料表征（TEM/AFM）、纳米材料性能测试、纳米技术应用、纳米材料开发
工学,材料类,新能源材料与器件,新能源材料设计、材料制备、器件组装、器件性能测试、新能源应用开发
工学,材料类,材料设计科学与工程,材料设计（计算材料学）、材料模拟（VASP）、材料合成、材料性能测试、材料应用开发
工学,材料类,复合材料成型工程,复合材料成型工艺、成型设备操作、成型质量控制、成型模具设计、成型工艺优化
工学,材料类,智能材料与结构,智能材料设计、材料制备、结构设计、智能响应测试、智能系统集成
工学,材料类,光电信息材料与器件,光电材料设计、材料制备、器件组装、光电性能测试、光电应用开发
工学,材料类,生物材料,生物材料设计、材料制备、生物相容性测试、材料表征、生物材料应用开发（医疗）
工学,材料类,材料智能技术,材料AI设计、智能表征、智能测试、智能数据分析、智能材料应用
工学,材料类,电子信息材料,电子材料设计、材料制备、材料电学性能测试、材料表征、电子材料应用开发
工学,材料类,软物质科学与工程,软物质制备、软物质性能测试、软物质表征、软物质应用开发、软物质理论应用
工学,材料类,稀土材料科学与工程,稀土材料制备、稀土性能测试、稀土表征、稀土应用开发、稀土材料设计
工学,能源动力类,能源与动力工程,能源转换技术、动力设备设计、热力系统分析、能源效率评估、能源软件应用（Fluent）
工学,能源动力类,能源与环境系统工程,能源系统设计、环境系统分析、能源环境协调优化、系统仿真（Aspen Plus）、系统评估
工学,能源动力类,新能源科学与工程,新能源技术（光伏/风电）、新能源系统设计、新能源性能测试、新能源数据分析、新能源应用开发
工学,能源动力类,储能科学与工程,储能技术（电池/氢能）、储能系统设计、储能性能测试、储能数据分析、储能应用开发
工学,能源动力类,能源服务工程,能源审计、能源管理、能源服务方案设计、能源数据分析、能源技术咨询
工学,能源动力类,氢能科学与工程,氢能制备技术、氢能存储、氢能系统设计、氢能安全评估、氢能应用开发
工学,能源动力类,可持续能源,可持续能源技术、能源系统优化、能源环境评估、可持续能源规划、能源政策分析
工学,电气类,电气工程及其自动化,电气设计（CAD）、电机控制、电力系统分析、电气设备调试、电气软件应用（MATLAB/Simulink）
工学,电气类,智能电网信息工程,智能电网设计、电网信息采集、电网数据分析、电网优化控制、智能电网软件应用
工学,电气类,光源与照明,光源设计、照明系统开发、照明性能测试、照明节能优化、照明控制
工学,电气类,电气工程与智能控制,电气设计、智能控制（PLC/AI）、电气设备调试、控制系统开发、电气系统维护
工学,电气类,电机电器智能化,电机设计、电器开发、智能控制、电机测试、电器维护
工学,电气类,电缆工程,电缆设计、电缆制造工艺、电缆测试、电缆敷设、电缆维护
工学,电气类,能源互联网工程,能源互联网设计、能源数据采集、能源网络分析、能源优化控制、能源互联网软件应用
工学,电气类,智慧能源工程,智慧能源系统设计、能源数据智能分析、能源优化控制、智慧能源设备调试、智慧能源管理
工学,电气类,电动载运工程,电动载运工具设计、动力系统开发、载运控制、性能测试、载运系统维护
工学,电气类,大功率半导体科学与工程,半导体设计、半导体制造、半导体测试、半导体应用、半导体封装
工学,电子信息类,电子信息工程,电子电路设计（Altium Designer）、信号处理、嵌入式系统开发、电子设备调试、电子软件应用（MATLAB）
工学,电子信息类,电子科学与技术,电子材料设计、器件制造、电路设计、性能测试、电子技术开发
工学,电子信息类,通信工程,通信系统设计、通信协议开发、信号处理、通信设备调试、通信软件应用（NS-3）
工学,电子信息类,微电子科学与工程,芯片设计（Verilog）、半导体制造、微电子器件、芯片测试、微电子软件应用（Cadence）
工学,电子信息类,光电信息科学与工程,光电系统设计、光电器件开发、光电信号处理、光电测试、光电应用开发
工学,电子信息类,信息工程,信息系统设计、信息处理、通信技术应用、信息安全、信息系统维护
工学,电子信息类,广播电视工程,广电系统设计、信号传输、广电设备调试、广电内容制作、广电系统维护
工学,电子信息类,水声工程,水声系统设计、水声信号处理、水声设备调试、水声探测、水声系统维护
工学,电子信息类,电子封装技术,封装设计、封装工艺、封装测试、封装材料应用、封装可靠性分析
工学,电子信息类,集成电路设计与集成系统,集成电路设计（Verilog/VHDL）、芯片集成、电路仿真、芯片测试、集成电路软件应用（Synopsys）
工学,电子信息类,医学信息工程,医学信息系统设计、医疗数据处理、医学设备接口开发、医学信息安全、医学信息系统维护
工学,电子信息类,电磁场与无线技术,电磁场分析、无线系统设计、天线设计、无线测试、电磁场软件应用（HFSS）
工学,电子信息类,电波传播与天线,电波传播分析、天线设计、天线测试、电波传播预测、天线软件应用（CST）
工学,电子信息类,电子信息科学与技术,电子信息分析、信息处理、电子技术应用、信息系统开发、电子信息软件应用
工学,电子信息类,电信工程及管理,电信系统设计、电信网络管理、电信业务开发、电信数据分析、电信系统维护
工学,电子信息类,应用电子技术教育,电子技术教学、电子实验指导、电子课程设计、电子技能培训、电子教学评估
工学,电子信息类,人工智能,AI算法开发（Python）、机器学习模型构建、深度学习应用（TensorFlow/PyTorch）、AI数据处理、AI系统集成
工学,电子信息类,海洋信息工程,海洋信息采集、海洋信息处理、海洋信息系统设计、海洋数据分析、海洋信息应用
工学,电子信息类,柔性电子学,柔性电子设计、柔性材料应用、柔性器件制备、柔性电子测试、柔性电子应用开发
工学,电子信息类,智能测控工程,智能测量系统设计、智能控制（PLC/AI）、测控数据处理、智能设备调试、智能测控软件应用
工学,电子信息类,智能视觉工程,计算机视觉算法（OpenCV）、图像识别、视觉系统开发、视觉测试、视觉应用开发
工学,电子信息类,智能视听工程,音频/视频处理、智能视听系统设计、视听算法开发、视听测试、视听应用开发
工学,自动化类,自动化,自动控制系统设计、PLC编程、SCADA系统开发、控制系统调试、自动化软件应用（MATLAB/Simulink）
工学,自动化类,轨道交通信号与控制,轨道交通信号设计、信号系统开发、信号控制算法、信号设备调试、轨道交通系统维护
工学,自动化类,机器人工程,机器人设计（机械/电子）、机器人控制算法、机器人编程（C++/Python）、机器人调试、机器人系统集成
工学,自动化类,邮政工程,邮政系统设计、邮政自动化设备、邮政数据分析、邮政网络优化、邮政系统维护
工学,自动化类,核电技术与控制工程,核电系统设计、核电控制（PLC/DCS）、核电安全分析、核电设备调试、核电系统维护
工学,自动化类,智能装备与系统,智能装备设计、智能控制（AI）、装备调试、系统集成、智能装备维护
工学,自动化类,工业智能,工业数据分析、工业AI应用、工业自动化控制、工业系统优化、工业软件应用（MES）
工学,自动化类,智能工程与创意设计,智能系统设计、创意产品开发、用户体验分析、智能测试、创意设计软件应用
工学,计算机类,计算机科学与技术,程序设计（C++/Python）、算法开发、数据结构应用、计算机系统设计、计算机软件应用（Linux）
工学,计算机类,软件工程,软件设计（UML）、软件开发（Java/Python）、软件测试、软件维护、软件工程管理（敏捷）
工学,计算机类,网络工程,网络设计、网络配置（Cisco）、网络安全、网络维护、网络软件应用（Wireshark）
工学,计算机类,信息安全,安全漏洞分析、加密技术应用、安全防护系统开发、安全测试、安全事件响应
工学,计算机类,物联网工程,物联网系统设计、传感器应用、无线通信（RFID/NB-IoT）、物联网数据处理、物联网系统维护
工学,计算机类,数字媒体技术,数字媒体设计（PS/PR）、动画制作（Maya）、交互设计、数字媒体开发、数字媒体软件应用
工学,计算机类,智能科学与技术,智能算法开发、机器学习应用、智能系统设计、智能数据处理、智能软件应用（TensorFlow）
工学,计算机类,空间信息与数字技术,空间信息采集、数字技术应用（GIS）、空间数据分析、数字系统开发、空间信息可视化
工学,计算机类,电子与计算机工程,电子电路设计、计算机系统开发、嵌入式系统、电子计算机调试、电子计算机软件应用
工学,计算机类,数据科学与大数据技术,大数据采集（Hadoop）、数据清洗、数据分析（Spark）、数据可视化（Tableau）、大数据模型构建
工学,计算机类,网络空间安全,网络空间漏洞分析、网络攻击防御、安全协议开发、安全测试、网络空间安全事件响应
工学,计算机类,新媒体技术,新媒体系统开发、新媒体内容制作、新媒体数据分析、新媒体运营、新媒体软件应用
工学,计算机类,电影制作,电影拍摄、电影剪辑（PR）、特效制作（AE）、电影音效、电影后期制作
工学,计算机类,保密技术,保密系统设计、加密技术应用、保密测试、保密设备维护、保密协议开发
工学,计算机类,服务科学与工程,服务系统设计、服务数据分析、服务优化、服务开发、服务软件应用
工学,计算机类,虚拟现实技术,VR建模（3D Max）、VR场景开发、VR交互设计、VR测试、VR系统集成
工学,计算机类,区块链工程,区块链开发（Solidity）、智能合约编写、区块链系统设计、区块链测试、区块链应用开发
工学,计算机类,密码科学与技术,密码算法开发、加密技术应用、密码系统设计、密码测试、密码协议开发
工学,计算机类,工业软件,工业软件设计、工业数据分析、工业软件开发、工业软件测试、工业软件应用（CAD/CAM）
工学,土木类,土木工程,结构设计（CAD/PKPM）、施工技术、工程力学分析、工程造价、土木软件应用（ETABS）
工学,土木类,建筑环境与能源应用工程,建筑环境设计、暖通空调系统、能源应用、系统调试、建筑环境软件应用（EnergyPlus）
工学,土木类,给排水科学与工程,给排水系统设计、水处理技术、管网设计、水质检测、给排水软件应用（EPANET）
工学,土木类,建筑电气与智能化,建筑电气设计、智能系统开发、电气设备调试、智能控制、建筑电气软件应用（Revit）
工学,土木类,城市地下空间工程,地下空间设计、施工技术、围岩稳定性分析、地下工程测试、地下工程软件应用（FLAC3D）
工学,土木类,道路桥梁与渡河工程,道路设计、桥梁设计（Midas）、施工技术、工程检测、道路桥梁软件应用
工学,土木类,铁道工程,铁道设计、轨道施工、铁道桥梁设计、铁道维护、铁道软件应用
工学,土木类,智能建造,智能设计（BIM）、智能施工（工业机器人）、智能控制（AI）、智能监测、智能建造软件应用
工学,土木类,土木、水利与海洋工程,土木水利海洋系统设计、施工技术、系统分析、工程测试、跨学科软件应用
工学,土木类,土木、水利与交通工程,土木水利交通系统设计、施工技术、系统优化、工程测试、跨学科软件应用
工学,土木类,城市水系统工程,城市水系统设计、水处理技术、管网优化、水质监测、水系统软件应用
工学,土木类,智能建造与智慧交通,智能建造技术、智慧交通系统、智能控制、数据分析、跨领域软件应用
工学,土木类,工程软件,工程软件设计、工程数据分析、软件开发、软件测试、工程软件应用（CAD/CAE）
工学,水利类,水利水电工程,水利水电设计（AutoCAD）、施工技术、水力计算、工程检测、水利软件应用（HEC-HMS）
工学,水利类,水文与水资源工程,水文分析、水资源评估、水文模型构建、水资源管理、水文软件应用（SWAT）
工学,水利类,港口航道与海岸工程,港口航道设计、海岸工程、施工技术、工程检测、港口软件应用（MIKE）
工学,水利类,水务工程,水务系统设计、水处理技术、水务管理、水质监测、水务软件应用
工学,水利类,水利科学与工程,水利科学研究、水利工程设计、水力计算、工程测试、水利软件应用
工学,水利类,智慧水利,智慧水利系统设计、水利数据智能分析、智能控制、智慧监测、智慧水利软件应用
工学,测绘类,测绘工程,测绘技术（GPS/全站仪）、地图绘制、数据处理、测绘软件应用（CASS）、测绘项目管理
工学,测绘类,遥感科学与技术,遥感数据采集（卫星/无人机）、遥感图像处理（ENVI）、遥感分析、遥感应用开发、遥感软件应用
工学,测绘类,导航工程,导航系统设计、导航技术（GPS/北斗）、导航数据处理、导航测试、导航软件应用
工学,测绘类,地理国情监测,地理国情数据采集、数据分析、监测报告撰写、地理信息应用（GIS）、监测软件应用
工学,测绘类,地理空间信息工程,地理空间信息采集、GIS软件应用、空间数据分析、信息系统开发、空间信息可视化
工学,测绘类,时空信息工程,时空数据采集、时空数据分析、时空系统设计、时空信息应用、时空软件应用
工学,化工与制药类,化学工程与工艺,化工工艺设计、化工设备操作、化工过程控制、化工数据分析、化工软件应用（Aspen Plus）
工学,化工与制药类,制药工程,制药工艺设计、药物合成、制药设备操作、药品质量检测、制药软件应用（Pharmaceutical CAD）
工学,化工与制药类,资源循环科学与工程,资源循环工艺设计、资源回收技术、资源分析、循环系统优化、资源软件应用
工学,化工与制药类,能源化学工程,能源化工工艺、能源转化技术、能源分析、能源系统优化、能源软件应用
工学,化工与制药类,化学工程与工业生物工程,化工生物工艺、生物反应工程、化工生物分析、系统优化、化工生物软件应用
工学,化工与制药类,化工安全工程,化工安全评估、安全系统设计、安全监测、安全应急处置、化工安全软件应用
工学,化工与制药类,涂料工程,涂料配方设计、涂料制备、涂料性能测试、涂料应用、涂料工艺优化
工学,化工与制药类,精细化工,精细化学品合成、精细化工工艺、产品性能测试、精细化工应用、工艺优化
工学,化工与制药类,智能分子工程,分子设计、分子合成、分子性能测试、智能分子应用、分子软件应用（GROMACS）
工学,地质类,地质工程,地质勘察、地质设计、地质施工、地质灾害防治、地质软件应用（FLAC3D）
工学,地质类,勘查技术与工程,勘查技术应用（地震/电法）、勘查数据处理、勘查报告撰写、勘查设备操作、勘查软件应用
工学,地质类,资源勘查工程,资源勘探、资源评估、资源储量计算、资源开发方案、资源软件应用
工学,地质类,地下水科学与工程,地下水勘察、地下水模拟（MODFLOW）、地下水管理、地下水污染防治、地下水软件应用
工学,地质类,旅游地学与规划工程,旅游地学调查、旅游规划设计、旅游资源评估、旅游开发方案、规划软件应用（GIS）
工学,地质类,智能地球探测,智能探测技术、探测数据智能分析、探测系统设计、智能探测设备、探测软件应用
工学,地质类,资源环境大数据工程,资源环境数据采集、大数据处理（Spark）、数据分析、数据可视化、大数据软件应用
工学,矿业类,采矿工程,采矿设计、采矿工艺、矿山设备操作、矿山安全、采矿软件应用（3DMine）
工学,矿业类,石油工程,石油钻井设计、油气开采、石油设备操作、油藏工程、石油软件应用（Eclipse）
工学,矿业类,矿物加工工程,矿物加工工艺、矿物分离技术、加工设备操作、产品质量检测、矿物加工软件应用
工学,矿业类,油气储运工程,油气储运设计、储运设备操作、储运系统维护、油气安全、储运软件应用
工学,矿业类,矿物资源工程,矿物资源评估、资源开发方案、资源循环利用、资源工程设计、资源软件应用
工学,矿业类,海洋油气工程,海洋油气勘探、海洋钻井设计、海洋油气开采、海洋油气设备、海洋油气软件应用
工学,矿业类,智能采矿工程,智能采矿设计、采矿机器人应用、采矿数据智能分析、智能安全监测、采矿软件应用（AI集成）
工学,矿业类,碳储科学与工程,碳捕获技术、碳储存设计、碳监测、碳封存安全评估、碳储软件应用
工学,纺织类,纺织工程,纺织工艺设计、纺织设备操作、纺织品检测、纺织材料应用、纺织软件应用（CAD）
工学,纺织类,服装设计与工程,服装结构设计、服装工艺、服装CAD应用、服装生产管理、服装质量检测
工学,纺织类,非织造材料与工程,非织造材料制备、生产工艺设计、材料性能测试、非织造产品开发、工艺优化
工学,纺织类,服装设计与工艺教育,服装工艺教学、服装课程设计、服装技能培训、服装教学评估、服装工艺优化
工学,纺织类,丝绸设计与工程,丝绸工艺设计、丝绸材料应用、丝绸产品开发、丝绸质量检测、丝绸设计软件应用
工学,轻工类,轻化工程,轻化工工艺设计、产品生产、质量检测、材料应用、轻化软件应用（Aspen Plus）
工学,轻工类,包装工程,包装设计、包装材料应用、包装工艺、包装测试、包装软件应用（CAD）
工学,轻工类,印刷工程,印刷工艺设计、印刷设备操作、印刷质量检测、印刷技术开发、印刷软件应用（PS/AI）
工学,轻工类,香料香精技术与工程,香料香精合成、配方设计、性能测试、应用开发、香料软件应用
工学,轻工类,化妆品技术与工程,化妆品配方设计、生产工艺、质量检测、功效评估、化妆品软件应用
工学,轻工类,生物质能源与材料,生物质能源转化、材料制备、性能测试、应用开发、生物质软件应用
工学,轻工类,生物质技术与工程,生物质加工技术、工程设计、工艺优化、产品开发、生物质数据分析
工学,交通运输类,交通运输,交通系统设计、运输规划、交通数据分析、运输管理、交通软件应用（VISSIM）
工学,交通运输类,交通工程,交通工程设计、交通流分析、交通设施规划、交通安全、交通软件应用（CAD）
工学,交通运输类,航海技术,船舶驾驶、航海设备操作、航海法规应用、航线规划、航海应急处置
工学,交通运输类,轮机工程,船舶动力设备操作、维护维修、轮机管理、船舶安全、轮机软件应用
工学,交通运输类,飞行技术,飞行操作、飞行设备使用、飞行法规应用、航线规划、飞行应急处置
工学,交通运输类,交通设备与控制工程,交通设备设计、控制算法开发、设备调试、系统维护、交通控制软件应用
工学,交通运输类,救助与打捞工程,救助方案设计、打捞技术应用、水下作业、应急处置、救助设备操作
工学,交通运输类,船舶电子电气工程,船舶电子设备设计、电气系统维护、电子控制、船舶电气测试、电气软件应用
工学,交通运输类,轨道交通电气与控制,轨道交通电气设计、控制算法开发、设备调试、系统维护、轨道交通软件应用
工学,交通运输类,邮轮工程与管理,邮轮设施设计、邮轮运营管理、邮轮服务、邮轮安全、邮轮管理软件应用
工学,交通运输类,智慧交通,智慧交通系统设计、交通数据智能分析、智能控制、智慧监测、智慧交通软件应用
工学,交通运输类,智能运输工程,智能运输系统设计、运输数据智能分析、智能调度、智能监测、智能运输软件应用
工学,海洋工程类,船舶与海洋工程,船舶设计（CAD）、海洋工程结构分析、船舶制造、海洋设备操作、海洋工程软件应用（ANSYS）
工学,海洋工程类,海洋工程与技术,海洋工程设计、海洋技术应用、海洋设备操作、海洋数据分析、海洋工程软件应用
工学,海洋工程类,海洋资源开发技术,海洋资源勘探、开发技术应用、资源评估、海洋设备操作、资源开发软件应用
工学,海洋工程类,海洋机器人,海洋机器人设计、控制算法开发、机器人编程、机器人调试、海洋机器人系统集成
工学,海洋工程类,智慧海洋技术,智慧海洋系统设计、海洋数据智能分析、智能监测、智慧海洋软件应用
工学,海洋工程类,智能海洋装备,智能海洋装备设计、智能控制、装备调试、系统集成、智能海洋装备维护
工学,航空航天器类,航空航天工程,航空航天器设计（CAD）、结构分析、动力系统设计、航空航天软件应用（CATIA）
工学,航空航天器类,飞行器设计与工程,飞行器设计、气动分析、结构设计、飞行器软件应用（UG）、设计优化
工学,航空航天器类,飞行器制造工程,飞行器制造工艺、数控加工、质量检测、制造管理、制造软件应用（CAM）
工学,航空航天器类,飞行器动力工程,动力系统设计、发动机调试、性能测试、动力系统维护、动力软件应用（Fluent）
工学,航空航天器类,飞行器环境与生命保障工程,环境控制系统设计、生命保障设备开发、系统调试、环境监测、保障软件应用
工学,航空航天器类,飞行器质量与可靠性,质量检测、可靠性分析、测试方案设计、质量控制、可靠性软件应用
工学,航空航天器类,飞行器适航技术,适航标准应用、适航测试、适航认证、适航分析、适航软件应用
工学,航空航天器类,飞行器控制与信息工程,控制算法开发、信息系统设计、数据处理、控制系统调试、控制软件应用（MATLAB）
工学,航空航天器类,无人驾驶航空器系统工程,无人机设计、控制算法开发、无人机编程、无人机调试、无人机系统集成
工学,航空航天器类,智能飞行器技术,智能飞行器设计、AI控制、自主导航、智能监测、智能飞行器软件应用
工学,航空航天器类,空天智能电推进技术,电推进系统设计、性能测试、智能控制、推进技术开发、推进软件应用
工学,航空航天器类,飞行器运维工程,飞行器维护维修、故障诊断、运维管理、运维数据分析、运维软件应用
工学,兵器类,武器系统与工程,武器系统设计、性能测试、系统集成、武器软件应用（ANSYS）、武器系统维护
工学,兵器类,武器发射工程,发射系统设计、发射工艺、发射控制、发射测试、发射系统维护
工学,兵器类,探测制导与控制技术,探测系统设计、制导算法开发、控制软件应用、系统调试、探测制导系统维护
工学,兵器类,弹药工程与爆炸技术,弹药设计、爆炸技术应用、性能测试、弹药安全、弹药软件应用
工学,兵器类,特种能源技术与工程,特种能源制备、能源系统设计、性能测试、能源应用、特种能源软件应用
工学,兵器类,装甲车辆工程,装甲车辆设计、结构分析、动力系统设计、车辆测试、装甲车辆软件应用（UG）
工学,兵器类,信息对抗技术,信息对抗算法开发、干扰技术应用、防御系统设计、信息分析、信息对抗软件应用
工学,兵器类,智能无人系统技术,无人系统设计、智能控制、自主导航、系统集成、无人系统软件应用
工学,核工程类,核工程与核技术,核反应堆设计、核技术应用、核安全分析、核数据处理、核工程软件应用（MCNP）
工学,核工程类,辐射防护与核安全,辐射防护设计、核安全评估、辐射监测、防护设备操作、核安全软件应用
工学,核工程类,工程物理,工程物理分析、核物理应用、辐射探测、工程设计、工程物理软件应用（Origin）
工学,核工程类,核化工与核燃料工程,核化工工艺设计、核燃料处理、核化工分析、核化工设备操作、核化工软件应用
工学,农业工程类,农业工程,农业工程设计、农业设备开发、农业工艺优化、农业数据分析、农业工程软件应用（CAD）
工学,农业工程类,农业机械化及其自动化,农机设计、农机自动化控制、农机调试、农机维护、农机软件应用（MATLAB）
工学,农业工程类,农业电气化,农业电气设计、电气系统维护、电气控制、农业电气测试、农业电气软件应用
工学,农业工程类,农业建筑环境与能源工程,农业建筑设计、环境控制系统设计、能源应用、系统调试、农业建筑软件应用（Revit）
工学,农业工程类,农业水利工程,农业水利设计、灌溉系统开发、水利设施维护、水利数据分析、农业水利软件应用（AutoCAD）
工学,农业工程类,土地整治工程,土地整治规划、整治工程设计、土壤改良、整治施工、土地整治软件应用（GIS）
工学,农业工程类,农业智能装备工程,智能农机设计、AI控制、自主作业、装备调试、智能农机软件应用
工学,林木工程类,森林工程,森林工程设计、木材运输、森林设备操作、森林资源管理、森林工程软件应用（CAD）
工学,林木工程类,木材科学与工程,木材加工工艺、木材材料分析、木材产品开发、木材质量检测、木材软件应用（ANSYS）
工学,林木工程类,林产化工,林产化工工艺、产品合成、质量检测、林产资源利用、林产化工软件应用
工学,林木工程类,家具设计与工程,家具设计（CAD）、生产工艺、结构分析、家具质量检测、家具设计软件应用（Rhino）
工学,林木工程类,木结构建筑与材料,木结构设计、木材材料应用、建筑施工、结构检测、木结构软件应用（SAP2000）
工学,环境科学与工程类,环境科学与工程,环境监测、污染治理技术、环境影响评价、环境数据分析、环境软件应用（ENVI）
工学,环境科学与工程类,环境工程,环保工程设计、污水处理、大气污染治理、固体废弃物处理、环境工程软件应用（Aspen Plus）
工学,环境科学与工程类,环境科学,环境数据分析、环境监测、环境评价、环境模型构建、环境软件应用（SPSS）
工学,环境科学与工程类,环境生态工程,生态修复方案设计、生态监测、生态评估、生态系统优化、生态软件应用（GIS）
工学,环境科学与工程类,环保设备工程,环保设备设计、设备调试、设备维护、性能测试、环保设备软件应用
工学,环境科学与工程类,资源环境科学,资源环境调查、数据分析、资源评估、环境治理、资源环境软件应用
工学,环境科学与工程类,水质科学与技术,水质监测、水处理技术、水质分析、水质优化、水质软件应用（EPANET）
工学,生物医学工程类,生物医学工程,医疗设备设计、生物信号处理、医疗器械调试、生物医学数据分析、生物医学软件应用（MATLAB）
工学,生物医学工程类,假肢矫形工程,假肢矫形器设计、适配调试、材料应用、性能测试、假肢矫形软件应用
工学,生物医学工程类,临床工程技术,临床设备维护、设备调试、临床技术应用、医疗数据分析、临床工程软件应用
工学,生物医学工程类,康复工程,康复设备设计、康复方案制定、设备调试、康复数据分析、康复软件应用
工学,生物医学工程类,健康科学与技术,健康监测设备开发、健康数据分析、健康管理、健康技术应用、健康软件应用
工学,食品科学与工程类,食品科学与工程,食品工艺设计、食品加工、质量检测、食品研发、食品软件应用（Aspen Plus）
工学,食品科学与工程类,食品质量与安全,食品检测、安全评估、质量控制、食品安全法规应用、食品检测软件应用
工学,食品科学与工程类,粮食工程,粮食加工工艺、仓储技术、质量检测、粮食资源利用、粮食工程软件应用
工学,食品科学与工程类,乳品工程,乳品加工工艺、乳品研发、质量检测、乳品设备操作、乳品软件应用
工学,食品科学与工程类,酿酒工程,酿酒工艺设计、酿酒技术、质量检测、酿酒设备操作、酿酒软件应用
工学,食品科学与工程类,葡萄与葡萄酒工程,葡萄种植、葡萄酒酿造、质量检测、葡萄酒研发、葡萄酒软件应用
工学,食品科学与工程类,食品营养与检验教育,食品营养教学、检验课程设计、技能培训、教学评估、食品检验技术
工学,食品科学与工程类,烹饪与营养教育,烹饪教学、营养课程设计、烹饪技能培训、教学评估、营养配餐设计
工学,食品科学与工程类,食品安全与检测,食品检测技术、安全评估、检测设备操作、检测数据分析、检测软件应用
工学,食品科学与工程类,食品营养与健康,营养分析、健康评估、营养配餐、健康管理、营养软件应用
工学,食品科学与工程类,食用菌科学与工程,食用菌培育、加工工艺、质量检测、研发、食用菌软件应用
工学,食品科学与工程类,白酒酿造工程,白酒酿造工艺、酿酒技术、质量检测、白酒研发、酿酒软件应用
工学,食品科学与工程类,咖啡科学与工程,咖啡种植、加工工艺、品质鉴定、咖啡研发、咖啡软件应用
工学,建筑类,建筑学,建筑设计（CAD/SketchUp）、方案设计、施工图绘制、建筑软件应用（V-Ray）、建筑法规应用
工学,建筑类,城乡规划,城乡规划设计、空间分析、规划方案制定、规划软件应用（GIS）、规划法规应用
工学,建筑类,风景园林,景观设计、植物配置、景观施工图绘制、景观软件应用（Lumion）、景观规划
工学,建筑类,历史建筑保护工程,历史建筑修复、保护方案设计、建筑检测、历史建筑软件应用、保护法规应用
工学,建筑类,人居环境科学与技术,人居环境设计、环境分析、优化方案、人居软件应用、环境技术应用
工学,建筑类,城市设计,城市空间设计、方案制定、城市分析、城市设计软件应用、设计法规应用
工学,建筑类,智慧建筑与建造,智慧建筑设计（BIM）、智能建造技术、智能控制、智慧监测、智慧建筑软件应用
工学,安全科学与工程类,安全工程,安全评估、安全方案设计、安全监测、安全应急处置、安全软件应用（SAFETY）
工学,安全科学与工程类,应急技术与管理,应急方案设计、应急技术应用、应急管理、应急数据分析、应急软件应用
工学,安全科学与工程类,职业卫生工程,职业卫生检测、防护设计、卫生评估、职业健康管理、卫生软件应用
工学,安全科学与工程类,安全生产监管,安全监管法规应用、监管方案制定、隐患排查、监管数据分析、监管软件应用
工学,安全科学与工程类,智慧应急,智慧应急系统设计、应急数据智能分析、智能监测、应急调度、智慧应急软件应用
工学,生物工程类,生物工程,生物发酵技术、生物反应工程、生物产品研发、生物数据分析、生物工程软件应用（MATLAB）
工学,生物工程类,生物制药,药物研发、生物制药工艺、质量检测、制药设备操作、生物制药软件应用
工学,生物工程类,合成生物学,基因合成、代谢工程、合成生物设计、数据分析、合成生物学软件应用
工学,公安技术类,刑事科学技术,刑事技术鉴定、物证分析、侦查技术应用、鉴定报告撰写、刑事技术软件应用
工学,公安技术类,消防工程,消防工程设计、消防设备操作、火灾扑救、消防安全评估、消防软件应用（FDS）
工学,公安技术类,交通管理工程,交通管理法规应用、交通秩序管理、交通数据分析、交通管理软件应用
工学,公安技术类,安全防范工程,安防系统设计、安防设备调试、安防监测、安防方案制定、安防软件应用
工学,公安技术类,公安视听技术,视听证据采集、视频分析、音频处理、视听技术应用、视听软件应用（PR/AE）
工学,公安技术类,抢险救援指挥与技术,救援指挥、救援技术应用、应急处置、救援设备操作、救援软件应用
工学,公安技术类,火灾勘查,火灾现场勘查、痕迹提取、火灾原因分析、勘查报告撰写、火灾勘查软件应用
工学,公安技术类,网络安全与执法,网络安全防护、网络侦查、黑客技术防御、网络执法、网络安全软件应用
工学,公安技术类,核生化消防,核生化防护、消防处置、检测设备操作、核生化分析、核生化软件应用
工学,公安技术类,海警舰艇指挥与技术,舰艇指挥、舰艇技术应用、海上执法、舰艇设备操作、舰艇软件应用
工学,公安技术类,数据警务技术,警务数据采集、数据分析、数据可视化、数据安全、数据警务软件应用
