专业名称,学科门类,专业类,核心技能
流行舞蹈,艺术学,音乐与舞蹈学类,流行舞蹈技巧、舞台表演、舞蹈编排、流行舞蹈软件应用、流行舞蹈创新
音乐教育,艺术学,音乐与舞蹈学类,音乐教学、课程设计、技能培训、教学评估、音乐软件应用
冰雪舞蹈表演,艺术学,音乐与舞蹈学类,冰雪舞蹈技巧、舞台表演、舞蹈编排、冰雪舞蹈创新、舞蹈软件应用
舞蹈治疗,艺术学,音乐与舞蹈学类,舞蹈治疗评估、治疗方案设计、舞蹈应用、治疗软件应用、治疗指导
音乐科技,艺术学,音乐与舞蹈学类,音乐技术开发、音乐制作、音乐软件应用、音乐科技创新、音乐数据分析
表演,艺术学,戏剧与影视学类,影视表演、舞台表演、角色塑造、表演技巧、表演软件应用（后期制作）
戏剧学,艺术学,戏剧与影视学类,戏剧理论研究、戏剧评论、戏剧文献解读、戏剧分析、戏剧软件应用
电影学,艺术学,戏剧与影视学类,电影理论研究、电影评论、电影分析、电影文献解读、电影软件应用
戏剧影视文学,艺术学,戏剧与影视学类,剧本创作、文学改编、影视评论、写作技巧、编剧软件应用（Final Draft）
广播电视编导,艺术学,戏剧与影视学类,节目策划、编导、后期制作、编导软件应用（PR/AE）、创意设计
戏剧影视导演,艺术学,戏剧与影视学类,导演创作、镜头语言、现场调度、导演软件应用、导演创新
戏剧影视美术设计,艺术学,戏剧与影视学类,美术设计、场景搭建、造型设计、设计软件应用（PS/3D Max）、创意设计
录音艺术,艺术学,戏剧与影视学类,音频录制、混音、音效设计、录音软件应用（Pro Tools）、音频创新
播音与主持艺术,艺术学,戏剧与影视学类,播音主持、语言表达、节目策划、播音软件应用、主持创新
动画,艺术学,戏剧与影视学类,动画制作、角色设计、场景设计、动画软件应用（Maya/Animate）、动画创新
影视摄影与制作,艺术学,戏剧与影视学类,影视拍摄、摄影技巧、后期制作、摄影软件应用（PR/AE）、影视创新
影视技术,艺术学,戏剧与影视学类,影视技术开发、设备操作、后期制作、影视软件应用、技术创新
戏剧教育,艺术学,戏剧与影视学类,戏剧教学、课程设计、技能培训、教学评估、戏剧软件应用
曲艺,艺术学,戏剧与影视学类,曲艺表演、剧本创作、曲艺技巧、曲艺创新、曲艺软件应用
音乐剧,艺术学,戏剧与影视学类,音乐剧表演、歌舞编排、剧本创作、音乐剧创新、音乐剧软件应用
数字戏剧,艺术学,戏剧与影视学类,数字戏剧创作、技术应用、后期制作、数字软件应用、数字创新
数字演艺设计,艺术学,戏剧与影视学类,演艺设计、技术应用、后期制作、数字软件应用、演艺创新
智能影像艺术,艺术学,戏剧与影视学类,智能影像创作、AI技术应用、后期制作、智能软件应用、影像创新
美术学,艺术学,美术学类,美术创作、美术理论、美术批评、美术软件应用（PS/Procreate）、美术创新
绘画,艺术学,美术学类,绘画创作、绘画技巧、色彩运用、绘画软件应用、绘画创新
雕塑,艺术学,美术学类,雕塑创作、雕塑技巧、材料应用、雕塑软件应用（ZBrush）、雕塑创新
摄影,艺术学,美术学类,摄影创作、摄影技巧、后期处理、摄影软件应用（LR/PS）、摄影创新
书法学,艺术学,美术学类,书法创作、书法技巧、碑帖研究、书法软件应用、书法创新
中国画,艺术学,美术学类,国画创作、笔墨技巧、构图设计、国画软件应用、国画创新
实验艺术,艺术学,美术学类,实验艺术创作、材料应用、创意设计、实验软件应用、艺术创新
跨媒体艺术,艺术学,美术学类,跨媒体创作、技术应用、创意设计、跨媒体软件应用、艺术创新
文物保护与修复,艺术学,美术学类,文物修复、保护技术、材料应用、修复软件应用、文物创新
漫画,艺术学,美术学类,漫画创作、角色设计、分镜设计、漫画软件应用（SAI/PS）、漫画创新
纤维艺术,艺术学,美术学类,纤维艺术创作、材料应用、创意设计、纤维软件应用、艺术创新
科技艺术,艺术学,美术学类,科技艺术创作、技术应用、创意设计、科技软件应用、艺术创新
美术教育,艺术学,美术学类,美术教学、课程设计、技能培训、教学评估、美术软件应用
虚拟空间艺术,艺术学,美术学类,虚拟空间设计、技术应用、创意设计、虚拟软件应用（Unity/Unreal）、艺术创新
艺术设计学,艺术学,设计学类,设计理论、设计批评、设计分析、设计软件应用、设计创新
视觉传达设计,艺术学,设计学类,视觉设计、创意创作、设计软件应用（PS/AI）、设计创新、品牌设计
环境设计,艺术学,设计学类,环境设计、空间规划、设计软件应用（CAD/3D Max）、设计创新、景观设计
产品设计,艺术学,设计学类,产品设计、创意创作、设计软件应用（Rhino/KeyShot）、设计创新、用户体验设计
服装与服饰设计,艺术学,设计学类,服装设计、创意创作、设计软件应用（AI/CAD）、设计创新、服饰搭配
公共艺术,艺术学,设计学类,公共艺术创作、创意设计、材料应用、艺术创新、公共空间设计
工艺美术,艺术学,设计学类,工艺创作、技艺传承、材料应用、工艺创新、工艺软件应用
数字媒体艺术,艺术学,设计学类,数字艺术创作、创意设计、数字软件应用（AE/Unity）、艺术创新、交互设计
艺术与科技,艺术学,设计学类,艺术科技创作、技术应用、创意设计、科技软件应用、艺术创新
陶瓷艺术设计,艺术学,设计学类,陶瓷设计、工艺创作、材料应用、陶瓷创新、陶瓷软件应用
新媒体艺术,艺术学,设计学类,新媒体创作、技术应用、创意设计、新媒体软件应用、艺术创新
包装设计,艺术学,设计学类,包装设计、创意创作、设计软件应用（AI/CAD）、设计创新、包装工艺
珠宝首饰设计与工艺,艺术学,设计学类,珠宝设计、工艺创作、材料应用、珠宝创新、珠宝软件应用（Rhino/JewelCAD）
人居设计,艺术学,设计学类,人居空间设计、创意创作、设计软件应用（CAD/3D Max）、设计创新、空间规划
游戏艺术设计,艺术学,设计学类,游戏设计、角色/场景设计、设计软件应用（3D Max/Unity）、设计创新、游戏体验设计
